hrg_code,hrg_name,non_elec_cost
AA29F,Transient Ischaemic Attack with CC Score 0-4,733
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",8789
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",4946
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",3457
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",2230
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",2508
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",1478
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",611
AA32Z,Neuropsychology Tests,275
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",259
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",351
AA35A,Stroke with CC Score 16+,10936
AA35B,Stroke with CC Score 13-15,6332
AA35C,Stroke with CC Score 10-12,4241
AA35D,Stroke with CC Score 7-9,2885
AA35E,Stroke with CC Score 4-6,1908
AA35F,Stroke with CC Score 0-3,1176
AA43A,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 2+",977
AA43B,"Sleep Disorders, excluding Sleep Apnoea, with CC Score 0-1",423
AA50A,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 12+",26649
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",17863
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",15179
AA50D,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 12+",36178
AA50E,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",19961
AA50F,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5",16715
AA51A,"Complex Intracranial Procedures, 19 years and over, with CC Score 12+",18163
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",13445
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",11260
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",10915
AA51E,"Complex Intracranial Procedures, 18 years and under, with CC Score 8+",16132
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",11126
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",10860
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",14082
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",10318
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",8923
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",8382
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",11605
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",7497
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",6300
AA53A,"Major Intracranial Procedures, 19 years and over, with CC Score 12+",12739
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",9085
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",7483
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",6468
AA53E,"Major Intracranial Procedures, 18 years and under, with CC Score 8+",9928
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7",6820
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",6500
AA54A,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+",6132
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",3665
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",2410
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",5962
AA55B,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",3467
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",2280
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",6421
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",4211
AA57A,"Minimal Intracranial Procedures, 19 years and over",682
AA57B,"Minimal Intracranial Procedures, 18 years and under",1492
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",3634
AA60B,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 18 years and under",3894
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",1946
AA61B,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 18 years and under",2336
AA70Z,Stereotactic Intracranial Radiosurgery for Arteriovenous Malformations,8588
AA71A,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 4+",6423
AA71B,"Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 0-3",6133
AA80Z,Complex Long-Term EEG Monitoring,2860
AA81Z,Standard Long-Term EEG Monitoring,478
AB11Z,Cognitive Behavioural Therapy as part of a Pain Management Programme,135
AB12Z,Insertion of Neurostimulator for Pain Management,3439
AB13Z,Insertion of Intrathecal Drug Delivery Device for Pain Management,4928
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,2532
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management",1050
AB16Z,"Denervation or Injection around Spinal Facet, for Pain Management",763
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,910
AB20Z,Epidural Under Image Control for Pain Management,731
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",658
AB22Z,Trigger Point Injection for Pain Management,381
AB23Z,Acupuncture for Pain Management,120
AB24Z,Alteration of Function of Nerve for Pain Management,878
AB25Z,"Nerve Block or Destruction of Nerve, Under Image Control, for Pain Management",787
AB26Z,"Nerve Block or Destruction of Nerve, for Pain Management",606
AB27Z,Injection of Therapeutic Substance into Joint Under Image Control for Pain Management,788
AB28Z,Injection of Therapeutic Substance into Joint for Pain Management,660
BZ24D,Non-Surgical Ophthalmology with Interventions,4555
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",3764
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",1633
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",712
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",2674
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",2500
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+",1328
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",1166
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",881
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",826
BZ33Z,"Minor, Cataract or Lens Procedures",186
BZ34A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",993
BZ34B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",993
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",837
BZ40Z,Very Complex Oculoplastics Procedures,8635
BZ41A,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 2+",4908
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",3670
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",3984
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",2890
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under",3398
BZ44A,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",2246
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1641
BZ44C,"Major Oculoplastics Procedures, 18 years and under",1820
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",2696
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",929
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years",1305
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under",1354
BZ46A,"Minor Oculoplastics Procedures, 19 years and over",775
BZ46B,"Minor Oculoplastics Procedures, 18 years and under",1301
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over",7449
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",6188
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",4715
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",5405
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",5711
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",3308
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",3244
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",3110
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",3004
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",3644
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",675
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under",1864
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over",541
BZ57B,"Minor, Orbit or Lacrimal Procedures, 18 years and under",874
BZ60A,"Very Complex, Cornea or Sclera Procedures, with CC Score 2+",3770
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",2985
BZ61A,"Complex, Cornea or Sclera Procedures, with CC Score 2+",3154
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",2497
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",3022
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",2075
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",2791
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0",1715
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",1962
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0",1413
BZ65Z,"Minor, Cornea or Sclera Procedures",160
BZ70Z,Complex Ocular Motility Procedures,2264
BZ71A,"Very Major Ocular Motility Procedures, 19 years and over",1990
BZ71B,"Very Major Ocular Motility Procedures, 18 years and under",2284
BZ72A,"Major Ocular Motility Procedures, 19 years and over",1827
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years",1943
BZ72C,"Major Ocular Motility Procedures, 3 years and under",1850
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over",1749
BZ73B,"Intermediate Ocular Motility Procedures, 18 years and under",1539
BZ74Z,Minor Ocular Motility Procedures,652
BZ80A,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",2927
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",2255
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",2363
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",1984
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",4029
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",1564
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",1554
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",1466
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",1331
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",2101
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",588
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",524
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",1494
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over",560
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",1418
BZ87C,"Minor Vitreous Retinal Procedures, 3 years and under",1186
BZ88A,"Retinal Tomography, 19 years and over",112
BZ88B,"Retinal Tomography, 18 years and under",118
BZ89A,"Digital Retinal Photography, 19 years and over",108
BZ89B,"Digital Retinal Photography, 18 years and under",118
BZ90Z,"Very Complex, Glaucoma or Iris Procedures",4013
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+",2547
BZ91B,"Complex, Glaucoma or Iris Procedures, with CC Score 0-1",2399
BZ92A,"Very Major, Glaucoma or Iris Procedures, with CC Score 2+",1990
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",1828
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+",1791
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",1407
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",1450
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",758
BZ95Z,"Minor, Glaucoma or Iris Procedures",405
CA01A,"Complex, Head or Neck Procedures, with CC Score 7+",18785
CA01B,"Complex, Head or Neck Procedures, with CC Score 3-6",15118
CA01C,"Complex, Head or Neck Procedures, with CC Score 0-2",14647
CA02A,"Very Major, Head or Neck Procedures, with CC Score 2+",8850
CA02B,"Very Major, Head or Neck Procedures, with CC Score 0-1",7328
CA03A,"Major, Head or Neck Procedures, with CC Score 2+",5802
CA03B,"Major, Head or Neck Procedures, with CC Score 0-1",4090
CA04A,"Intermediate, Head or Neck Procedures, 19 years and over",3271
CA04B,"Intermediate, Head or Neck Procedures, 18 years and under",3271
CA05A,"Minor, Head or Neck Procedures, 19 years and over",1779
CA05B,"Minor, Head or Neck Procedures, 18 years and under",2037
CA10A,"Septorhinoplasty, 19 years and over",3206
CA10B,"Septorhinoplasty, 18 years and under",3283
CA11A,"Septoplasty, 19 years and over",1727
CA11B,"Septoplasty, 18 years and under",1796
CA12Z,Major Treatment of Epistaxis,993
CA13A,"Minor Treatment of Epistaxis, 19 years and over",749
CA13B,"Minor Treatment of Epistaxis, 18 years and under",933
CA14Z,Nasal Polypectomy,4271
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",1065
CA16Z,"Excision or Biopsy, of Lesion of External Nose",566
CA20Z,Complex Nose Procedures,7321
CA21Z,Very Major Nose Procedures,5930
CA22Z,Major Nose Procedures,1405
CA23Z,Intermediate Nose Procedures,1304
CA24A,"Minor Nose Procedures, 19 years and over",1174
CA24B,"Minor Nose Procedures, 18 years and under",1362
CA25A,"Minimal Nose Procedures, 19 years and over",546
CA25B,"Minimal Nose Procedures, 18 years and under",886
CA26Z,Complex Sinus Procedures,8492
CA27Z,Major Sinus Procedures,7845
CA28Z,Intermediate Sinus Procedures,6206
CA29Z,Minor Sinus Procedures,5320
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",8501
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under",4769
CA31Z,"Simple or Cortical, Mastoid Procedures",6702
CA32A,"Tympanoplasty, 19 years and over",2447
CA32B,"Tympanoplasty, 18 years and under",2609
CA33Z,Pinnaplasty,2606
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",698
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",1219
CA35A,"Insertion of Grommets, 19 years and over",926
CA35B,"Insertion of Grommets, between 2 and 18 years",967
CA35C,"Insertion of Grommets, 1 year and under",1041
CA36A,"Clearance of External Auditory Canal, 19 years and over",109
CA36B,"Clearance of External Auditory Canal, 18 years and under",143
CA37A,"Audiometry or Hearing Assessment, 19 years and over",122
CA37B,"Audiometry or Hearing Assessment, between 5 and 18 years",129
CA37C,"Audiometry or Hearing Assessment, 4 years and under",151
CA38A,"Evoked Potential Recording, 19 years and over",192
CA38B,"Evoked Potential Recording, 18 years and under",483
CA39Z,Fixture for Bone Anchored Hearing Aids,3462
CA40Z,Fitting of Bone Anchored Hearing Aids,381
CA41Z,Bilateral Cochlear Implants,47483
CA42Z,Unilateral Cochlear Implant,28740
CA43Z,Balance Assessment,139
CA50Z,Complex Ear Procedures,9175
CA51A,"Very Major Ear Procedures, 19 years and over",7204
CA51B,"Very Major Ear Procedures, 18 years and under",4150
CA52A,"Major Ear Procedures, 19 years and over",5597
CA52B,"Major Ear Procedures, 18 years and under",3491
CA53A,"Intermediate Ear Procedures, 19 years and over",3026
CA53B,"Intermediate Ear Procedures, 18 years and under",1831
CA54A,"Minor Ear Procedures, 19 years and over",880
CA54B,"Minor Ear Procedures, 18 years and under",1182
CA55A,"Minimal Ear Procedures, 19 years and over",840
CA55B,"Minimal Ear Procedures, 18 years and under",987
CA60C,"Tonsillectomy, 4 years and over",1556
CA60D,"Tonsillectomy, 3 years and under",1535
CA61Z,Adenotonsillectomy,1685
CA62Z,Adenoidectomy,1321
CA63Z,Tracheostomy,4306
CA64Z,Uvulopalatoplasty or Uvulopalatopharyngoplasty,1832
CA65Z,Frenotomy or Frenectomy,586
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",552
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",819
CA67A,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+",9445
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",4066
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",3786
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",4594
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",659
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",1202
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",1979
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,1458
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over",528
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under",1069
CA80A,"Very Complex, Mouth or Throat Procedures, with CC Score 5+",29400
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",18760
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",14873
CA81A,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",12029
CA81B,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",4844
CA81C,"Complex, Mouth or Throat Procedures, between 2 and 18 years",9846
CA81D,"Complex, Mouth or Throat Procedures, 1 year and under",13502
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",6572
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",4003
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",5207
CA82D,"Very Major, Mouth or Throat Procedures, 1 year and under",5432
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",3494
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",2152
CA83C,"Major, Mouth or Throat Procedures, 18 years and under",2305
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",3302
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",1122
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under",1706
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over",582
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years",846
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",1098
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over",527
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",715
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under",942
CA90Z,Very Complex Maxillofacial Procedures,32351
CA91A,Complex Maxillofacial Procedures with CC Score 1+,16548
CA91B,Complex Maxillofacial Procedures with CC Score 0,7044
CA92A,Very Major Maxillofacial Procedures with CC Score 1+,6155
CA92B,Very Major Maxillofacial Procedures with CC Score 0,5530
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",4955
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",4141
CA93C,"Major Maxillofacial Procedures, 18 years and under",4413
CA94Z,Intermediate Maxillofacial Procedures,3775
CA95Z,Minor Maxillofacial Procedures,1255
CA96Z,"Reduction or Fixation, of Jaw",3554
CA97Z,"Reduction or Fixation, of Cheekbone",2465
CA98Z,Reduction of Fracture of Nasal Bone,837
CB01A,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+",13332
CB01B,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8",8773
CB01C,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",6245
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",5942
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",4308
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",2603
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",4623
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",2461
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",2157
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",1549
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",570
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",483
CD01A,"Major Dental Procedures, 19 years and over",1074
CD01B,"Major Dental Procedures, 18 years and under",1321
CD02A,"Intermediate Dental Procedures, 19 years and over",852
CD02B,"Intermediate Dental Procedures, 18 years and under",1258
CD03A,"Minor Dental Procedures, 19 years and over",397
CD03B,"Minor Dental Procedures, 18 years and under",832
CD04A,"Major Surgical Removal of Tooth, 19 years and over",1970
CD04B,"Major Surgical Removal of Tooth, 18 years and under",1364
CD05A,"Surgical Removal of Tooth, 19 years and over",1318
CD05B,"Surgical Removal of Tooth, 18 years and under",1109
CD06A,"Extraction of Multiple Teeth, 19 years and over",1442
CD06B,"Extraction of Multiple Teeth, 18 years and under",1417
CD07A,"Minor Extraction of Tooth, 19 years and over",506
CD07B,"Minor Extraction of Tooth, 18 years and under",941
CD08Z,Minor Dental Biopsy,357
CD09A,"Minor Dental Restoration Procedures, 19 years and over",492
CD09B,"Minor Dental Restoration Procedures, 18 years and under",659
CD10A,"Creation of Dental Impression, 19 years and over",336
CD10B,"Creation of Dental Impression, 18 years and under",354
CD11A,"Dental Fitting or Insertion Procedures, 19 years and over",735
CD11B,"Dental Fitting or Insertion Procedures, 18 years and under",760
CD12A,"Adjustment of Dental Device, 19 years and over",330
CD12B,"Adjustment of Dental Device, 18 years and under",404
DZ02H,"Complex Thoracic Procedures, 19 years and over, with CC Score 6+",11856
DZ02J,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5",8101
DZ02K,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",6677
DZ02L,"Complex Thoracic Procedures, between 2 and 18 years",9050
DZ02M,"Complex Thoracic Procedures, 1 year and under",9262
DZ09J,"Pulmonary Embolus with Interventions, with CC Score 9+",8171
DZ09K,"Pulmonary Embolus with Interventions, with CC Score 0-8",4523
DZ09L,"Pulmonary Embolus without Interventions, with CC Score 12+",5304
DZ09M,"Pulmonary Embolus without Interventions, with CC Score 9-11",3743
DZ09N,"Pulmonary Embolus without Interventions, with CC Score 6-8",3076
DZ09P,"Pulmonary Embolus without Interventions, with CC Score 3-5",2127
DZ09Q,"Pulmonary Embolus without Interventions, with CC Score 0-2",943
DZ10H,"Lung Abscess-Empyema with Interventions, with CC Score 9+",9994
DZ10J,"Lung Abscess-Empyema with Interventions, with CC Score 5-8",6242
DZ10K,"Lung Abscess-Empyema with Interventions, with CC Score 0-4",5070
DZ10L,"Lung Abscess-Empyema without Interventions, with CC Score 9+",6250
DZ10M,"Lung Abscess-Empyema without Interventions, with CC Score 5-8",4172
DZ10N,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",3050
DZ11K,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 14+",10327
DZ11L,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 9-13",6348
DZ11M,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 0-8",4938
DZ11N,"Lobar, Atypical or Viral Pneumonia, with Single Intervention, with CC Score 13+",7382
DZ11P,"Lobar, Atypical or Viral Pneumonia, with Single Intervention, with CC Score 8-12",5102
DZ11Q,"Lobar, Atypical or Viral Pneumonia, with Single Intervention, with CC Score 0-7",4005
